workflow_name,workflow_family,operating_systems,industries_using_this_workflow,industry_count,objective,trigger,end_outcome,primary_actors,major_decisions,major_handoffs,systems_of_record_involved,where_money_is_lost,where_time_is_lost,where_human_judgment_dominates,where_people_leave_the_system_of_record,what_software_exists_today,why_hasnt_this_been_solved,primary_reason,representative_vendors,researched_vendor_links,validation_status,missing_fields
"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Hospitals | Nursing and residential care facilities,2,"Move a person into service with the right eligibility, timing, and required intake information captured up front.","A person requests entry into care, education, or a case-based program.","The person is cleared for service, scheduled or enrolled, and visible to downstream service teams.",intake coordinator; participant or patient; authorization or eligibility staff; service scheduler,"Is the person eligible and appropriately prioritized?; What slot, program, or service path should they enter?; What information gap blocks progression into service?",front-door intake -> authorization or scheduling; eligibility review -> service owner; admitted participant -> ongoing service team,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,"Leakage starts with avoidable denials, no-shows, unused capacity, and mis-routed participants.","Teams repeatedly collect the same history and chase coverage, paperwork, and schedule coordination.","Staff balance urgency, fit, and operational constraints under incomplete documentation.","Phone calls, scanned documents, and message threads still carry the real intake context.","Typical stacks combine EHR and Care Management, Revenue Cycle Management, HCM / Workforce Management, ERP; representative software in market today includes Epic, Oracle Health EHR, Meditech, PointClickCare, athenahealth RCM, R1 RCM.","Eligibility and access rules can be encoded, but edge cases and capacity realities still require manual orchestration. It typically spans 1 operating-system context and 4 systems-of-record categories.",Organizational,Epic; Oracle Health EHR; Meditech; PointClickCare; athenahealth RCM; R1 RCM; Optum; Workday Workforce Management,Epic: https://www.epic.com/; Oracle Health EHR: https://www.oracle.com/health/clinical-suite/electronic-health-record/; athenahealth RCM: https://www.athenahealth.com/solutions/revenue-cycle-management; R1 RCM: https://www.r1rcm.com/enterprise-partnerships; Workday Workforce Management: https://forms.workday.com/en-us/quick-demos/managing-your-workforce-with-workday-demo/form.html?step=step1_default; Deputy: https://www.deputy.com/; Legion: https://legion.co/en-gb/products/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
"Access, Intake, and Scheduling","Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,1,"Move a person into service with the right eligibility, timing, and required intake information captured up front.","A person requests entry into care, education, or a case-based program.","The person is cleared for service, scheduled or enrolled, and visible to downstream service teams.",intake coordinator; participant or patient; authorization or eligibility staff; service scheduler,"Is the person eligible and appropriately prioritized?; What slot, program, or service path should they enter?; What information gap blocks progression into service?",front-door intake -> authorization or scheduling; eligibility review -> service owner; admitted participant -> ongoing service team,EHR and Care Management | Revenue Cycle Management | Practice Management,"Leakage starts with avoidable denials, no-shows, unused capacity, and mis-routed participants.","Teams repeatedly collect the same history and chase coverage, paperwork, and schedule coordination.","Staff balance urgency, fit, and operational constraints under incomplete documentation.","Phone calls, scanned documents, and message threads still carry the real intake context.","Typical stacks combine EHR and Care Management, Revenue Cycle Management, Practice Management; representative software in market today includes Epic, Oracle Health EHR, Meditech, PointClickCare, athenahealth RCM, R1 RCM.","Eligibility and access rules can be encoded, but edge cases and capacity realities still require manual orchestration. It typically spans 1 operating-system context and 3 systems-of-record categories.",Organizational,Epic; Oracle Health EHR; Meditech; PointClickCare; athenahealth RCM; R1 RCM; Optum; eClinicalWorks,Epic: https://www.epic.com/; Oracle Health EHR: https://www.oracle.com/health/clinical-suite/electronic-health-record/; athenahealth RCM: https://www.athenahealth.com/solutions/revenue-cycle-management; R1 RCM: https://www.r1rcm.com/enterprise-partnerships,Complete,
Account and Loan Onboarding,"Access, Intake, and Contracting","Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",1,"Stand up a new account, relationship, or fund record while satisfying verification, risk, and setup requirements.","A new customer, borrower, investor, or fund relationship is approved for activation.","The relationship is activated in the necessary systems with required checks, documents, and controls completed.",onboarding specialist; customer or counterparty; risk or compliance reviewer; operations setup team,Is the relationship verified enough to activate?; What documentation or control gap still blocks go-live?; Which setup path fits the relationship complexity and risk level?,"sales or relationship owner -> onboarding team; onboarding -> risk, compliance, or legal review; approved setup -> servicing or operations team",Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,"Slow onboarding delays revenue start dates and increases abandonment, while weak controls raise risk and rework.","Teams chase documents, approvals, signatures, and duplicate data entry across systems.","Analysts still judge risk, beneficial ownership complexity, and what counts as a satisfactory exception path.","Onboarding packets, emails, shared checklists, and external verification portals carry the real process state.","Typical stacks combine Core Banking, Loan Origination and Servicing, Payments, Risk and Compliance, and adjacent specialist systems; representative software in market today includes Temenos, Finastra Phoenix, Fiserv, FIS, Jack Henry, nCino Commercial Lending.","Verification is partly automatable, but high-value or high-risk relationships still require context-heavy review and layered approvals. It typically spans 1 operating-system context and 5 systems-of-record categories.",Regulatory,Temenos; Finastra Phoenix; Fiserv; FIS; Jack Henry; nCino Commercial Lending; nCino; Dealertrack,Temenos: https://www.temenos.com/; Finastra Phoenix: https://www.finastra.com/us-mid-market/solutions/phoenix-banking-core; nCino Commercial Lending: https://www.ncino.com/solutions/commercial-lending?nxtPslug=commercial-loan-origination-system; Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Admissions and Enrollment,"Access, Intake, and Contracting",Education Delivery and Administration,Educational services,1,"Move a person into service with the right eligibility, timing, and required intake information captured up front.","A person requests entry into care, education, or a case-based program.","The person is cleared for service, scheduled or enrolled, and visible to downstream service teams.",intake coordinator; participant or patient; authorization or eligibility staff; service scheduler,"Is the person eligible and appropriately prioritized?; What slot, program, or service path should they enter?; What information gap blocks progression into service?",front-door intake -> authorization or scheduling; eligibility review -> service owner; admitted participant -> ongoing service team,Learning Management System | Student Information System | ERP | HCM / Workforce Management,"Leakage starts with avoidable denials, no-shows, unused capacity, and mis-routed participants.","Teams repeatedly collect the same history and chase coverage, paperwork, and schedule coordination.","Staff balance urgency, fit, and operational constraints under incomplete documentation.","Phone calls, scanned documents, and message threads still carry the real intake context.","Typical stacks combine Learning Management System, Student Information System, ERP, HCM / Workforce Management; representative software in market today includes Canvas LMS, D2L Brightspace, Blackboard, Ellucian Student, PowerSchool, Workday Student.","Eligibility and access rules can be encoded, but edge cases and capacity realities still require manual orchestration. It typically spans 1 operating-system context and 4 systems-of-record categories.",Organizational,Canvas LMS; D2L Brightspace; Blackboard; Ellucian Student; PowerSchool; Workday Student; SAP Cloud ERP; Acumatica Cloud ERP,Canvas LMS: https://www.instructure.com/canvas; D2L Brightspace: https://www.d2l.com/brightspace/; Ellucian Student: https://www.ellucian.com/student; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/; Deputy: https://www.deputy.com/; Legion: https://legion.co/en-gb/products/,Complete,
Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts | Machinery | Other transportation equipment",3,"Resolve customer issues quickly without sacrificing margin, service quality, or downstream operational clarity.","A customer asks for support, raises an issue, or requires live service intervention.",The issue is resolved or routed correctly and the account or service record reflects the outcome.,support or service agent; customer; operations team; account owner,"What is the true root cause and who owns it?; Should the issue be fixed, compensated, escalated, or monitored?; What follow-up best protects future retention?","customer-facing channel -> support queue; support -> operations, field, or finance; resolution -> account owner or retention motion",Manufacturing Execution System | Maintenance Management | Project and Construction Management | Supply Chain Planning | PLM and Engineering Design | ERP,"Repeat contacts, credits, field callbacks, and unresolved issues raise support cost and churn risk.",Agents and operations teams waste time on status chasing and duplicate handoffs.,"Good service recovery depends on empathy, prioritization, and contextual interpretation.","The most important context often lives in conversations, notes, and side chats rather than system fields.","Typical stacks combine Manufacturing Execution System, Maintenance Management, Project and Construction Management, Supply Chain Planning, and adjacent specialist systems; representative software in market today includes Siemens Opcenter, Rockwell FactoryTalk MES, Plex, Epicor, Rockwell FactoryTalk, IFS Enterprise Asset Management.","Support flows cross channels and teams, and the edge cases that matter most remain unstructured. It typically spans 1 operating-system context and 6 systems-of-record categories.",Legacy Architecture,Siemens Opcenter; Rockwell FactoryTalk MES; Plex; Epicor; Rockwell FactoryTalk; IFS Enterprise Asset Management; Yardi; ServiceTitan,Siemens Opcenter: https://www.siemens.com/en-us/products/opcenter/; Rockwell FactoryTalk MES: https://www.rockwellautomation.com/en-us/products/software/factorytalk/operationsuite/mes.html; IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; Procore: https://www.procore.com/what-is-procore; Procore Financial Management: https://www.procore.com/financial-management; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,"Machinery | Electrical equipment, appliances, and components",2,Run the physical process or line at the required throughput and quality with clear status and escalation control.,"A production run, asset cycle, or operating shift is ready to execute.","Output is produced, status is recorded, and any exception is handed to the right follow-up owner.",operations supervisor; machine or process operator; quality or maintenance staff; planner,What run order or operating mode best fits current conditions?; What issue should stop the line versus be worked around?; When is output acceptable enough to release or continue?,"plan -> line or field operators; execution -> quality or maintenance team; completed output -> logistics, inventory, or finance",Manufacturing Execution System | Maintenance Management | PLM and Engineering Design | Shop Floor Control and Quality | ERP,"Scrap, slow cycles, poor yields, and unplanned downtime are the main leakages.","Operators lose time to waiting, restarts, manual data capture, and coordination across shifts.","Supervisors balance throughput, quality, and risk when conditions diverge from the ideal run.","Operational nuance lives in shift notes, whiteboards, and tribal knowledge outside MES and ERP fields.","Typical stacks combine Manufacturing Execution System, Maintenance Management, PLM and Engineering Design, Shop Floor Control and Quality, and adjacent specialist systems; representative software in market today includes Siemens Opcenter, Rockwell FactoryTalk MES, Plex, Epicor, Rockwell FactoryTalk, IFS Enterprise Asset Management.","Even with modern MES, the last mile of execution still depends on local conditions and human adaptation. It typically spans 1 operating-system context and 5 systems-of-record categories.",Legacy Architecture,Siemens Opcenter; Rockwell FactoryTalk MES; Plex; Epicor; Rockwell FactoryTalk; IFS Enterprise Asset Management; Yardi; ServiceTitan,Siemens Opcenter: https://www.siemens.com/en-us/products/opcenter/; Rockwell FactoryTalk MES: https://www.rockwellautomation.com/en-us/products/software/factorytalk/operationsuite/mes.html; IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
"Assembly, Test, and Certification",Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,1,Run the physical process or line at the required throughput and quality with clear status and escalation control.,"A production run, asset cycle, or operating shift is ready to execute.","Output is produced, status is recorded, and any exception is handed to the right follow-up owner.",operations supervisor; machine or process operator; quality or maintenance staff; planner,What run order or operating mode best fits current conditions?; What issue should stop the line versus be worked around?; When is output acceptable enough to release or continue?,"plan -> line or field operators; execution -> quality or maintenance team; completed output -> logistics, inventory, or finance",Project and Construction Management | PLM and Engineering Design | ERP,"Scrap, slow cycles, poor yields, and unplanned downtime are the main leakages.","Operators lose time to waiting, restarts, manual data capture, and coordination across shifts.","Supervisors balance throughput, quality, and risk when conditions diverge from the ideal run.","Operational nuance lives in shift notes, whiteboards, and tribal knowledge outside MES and ERP fields.","Typical stacks combine Project and Construction Management, PLM and Engineering Design, ERP; representative software in market today includes Procore, Procore Financial Management, Autodesk Construction Cloud, Oracle Primavera, Siemens Teamcenter, Dassault 3DEXPERIENCE.","Even with modern MES, the last mile of execution still depends on local conditions and human adaptation. It typically spans 1 operating-system context and 3 systems-of-record categories.",Legacy Architecture,Procore; Procore Financial Management; Autodesk Construction Cloud; Oracle Primavera; Siemens Teamcenter; Dassault 3DEXPERIENCE; PTC Windchill; Cadence,Procore: https://www.procore.com/what-is-procore; Procore Financial Management: https://www.procore.com/financial-management; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Asset Acquisition and Setup,Planning and Allocation,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,1,"Set the next operating baseline for capacity, demand, production, or resource use under uncertain conditions.",A planning horizon opens or enough signal changes that the current plan no longer fits reality.,A practical baseline plan is published with assumptions and accountable owners documented.,planner; operations leader; commercial or finance partner; downstream execution owner,"What demand and capacity assumptions should the organization trust right now?; Which tradeoff between service, cost, and utilization is acceptable?; When should the baseline be changed rather than managed through exceptions?","market or operating signals -> planning team; published plan -> procurement, labor, or execution teams; plan variance -> management review",Maintenance Management | Rental Operations Management | ERP,"Forecast error and poor allocation create excess cost, missed revenue, and avoidable firefighting.",Planning teams spend time rebuilding assumptions and chasing sign-off across functions.,Planners still decide which signals to trust and when the model output does not fit local reality.,"Scenario analysis and negotiation happen in spreadsheets, slides, and side conversations.","Typical stacks combine Maintenance Management, Rental Operations Management, ERP; representative software in market today includes IFS Enterprise Asset Management, Yardi, ServiceTitan, Oracle Utilities, IFS, AssetWorks.","The hard problem is not math alone; it is aligning noisy signals, local constraints, and organizational trust. It typically spans 1 operating-system context and 3 systems-of-record categories.",Technical,IFS Enterprise Asset Management; Yardi; ServiceTitan; Oracle Utilities; IFS; AssetWorks; LeaseQuery; Oracle,IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Asset Maintenance and Outage Management,Production and Asset Operations,Network Infrastructure Operations,Utilities,1,"Restore or preserve asset readiness with the right work orders, parts, sequencing, and outage discipline.","An asset reaches a maintenance threshold, fails, turns over, or must be prepared for the next use.",The asset returns to service or readiness with maintenance history and follow-up actions captured.,maintenance planner; technician; operations owner; parts or contractor support,"What work is urgent now versus deferrable?; What outage, turnover, or turnaround scope is required to restore readiness?; What issue should be repaired, monitored, or replaced entirely?",operations signal -> maintenance planning; planned work -> technicians or contractors; returned asset -> operations and finance history,Maintenance Management | Utility Operations and Billing | Industrial Automation and SCADA | ERP,"Leakage comes from downtime, repeat failures, poor work scope, and weak turnover discipline.","Teams chase parts, permits, technician availability, and asset-history context.","Maintenance leaders still assess condition, risk, and repair tradeoffs beyond simple rules.","Readiness and outage details are frequently tracked in calls, notes, and local sheets outside the CMMS.","Typical stacks combine Maintenance Management, Utility Operations and Billing, Industrial Automation and SCADA, ERP; representative software in market today includes IFS Enterprise Asset Management, Yardi, ServiceTitan, Oracle Utilities, IFS, Oracle Utilities Customer to Meter.","Maintenance systems track work orders, but true readiness still depends on fragmented context and field judgment. It typically spans 1 operating-system context and 4 systems-of-record categories.",Legacy Architecture,IFS Enterprise Asset Management; Yardi; ServiceTitan; Oracle Utilities; IFS; Oracle Utilities Customer to Meter; SAP; GE Vernova,IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; Oracle Utilities Customer to Meter: https://docs.oracle.com/en/industries/energy-water/advanced-meter/index.html; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Asset Maintenance and Turnover,Production and Asset Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,1,"Restore or preserve asset readiness with the right work orders, parts, sequencing, and outage discipline.","An asset reaches a maintenance threshold, fails, turns over, or must be prepared for the next use.",The asset returns to service or readiness with maintenance history and follow-up actions captured.,maintenance planner; technician; operations owner; parts or contractor support,"What work is urgent now versus deferrable?; What outage, turnover, or turnaround scope is required to restore readiness?; What issue should be repaired, monitored, or replaced entirely?",operations signal -> maintenance planning; planned work -> technicians or contractors; returned asset -> operations and finance history,Maintenance Management | Rental Operations Management | ERP,"Leakage comes from downtime, repeat failures, poor work scope, and weak turnover discipline.","Teams chase parts, permits, technician availability, and asset-history context.","Maintenance leaders still assess condition, risk, and repair tradeoffs beyond simple rules.","Readiness and outage details are frequently tracked in calls, notes, and local sheets outside the CMMS.","Typical stacks combine Maintenance Management, Rental Operations Management, ERP; representative software in market today includes IFS Enterprise Asset Management, Yardi, ServiceTitan, Oracle Utilities, IFS, AssetWorks.","Maintenance systems track work orders, but true readiness still depends on fragmented context and field judgment. It typically spans 1 operating-system context and 3 systems-of-record categories.",Legacy Architecture,IFS Enterprise Asset Management; Yardi; ServiceTitan; Oracle Utilities; IFS; AssetWorks; LeaseQuery; Oracle,IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
