rank_2025_gross_output,industry_name,bea_table_line,gross_output_2025_usd_mn,value_added_2025_usd_mn,q1_2026_real_go_change_pct_saar,economic_size_summary,operating_model_observation,core_workflows_observation,systems_of_record_map,technology_maturity_assessment,structural_pressures_observation,inefficiency_signals_observation,evidence_quality_confidence,source_links,hypothesis_notes
1,Housing,62,3324970,3005348,1.1,$3.32T gross output; $3.01T value added (BEA 2025),"Residential property ownership and leasing model; economics run through occupancy, rent yield, maintenance, financing, and compliance.",Leasing and renewals | Rent billing and collections | Maintenance/work orders | Tenant turns/make-ready | Capex and compliance reporting,Yardi | RealPage | AppFolio | MRI Software | Entrata,"Medium-High: core PMS/accounting stacks are mature, but field operations and data interoperability remain uneven.",Affordability constraints; interest-rate sensitivity; insurance/tax pressure; energy retrofits; local regulation and labor scarcity.,Fragmented ownership; manual maintenance coordination; inconsistent tenant data; slow turns; compliance and collections workflows spread across vendors.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/housing/hvs/data/reports.html,
2,Wholesale trade,34,3136235,1905380,10.6,$3.14T gross output; $1.91T value added (BEA 2025),"Distribution-margin model coordinating suppliers, inventory, pricing, fulfillment, and receivables across fragmented B2B networks.",Demand planning | Procurement and replenishment | Pricing/quoting | Order management and fulfillment | Accounts receivable and collections,SAP S/4HANA | Oracle NetSuite | Infor | Blue Yonder | Manhattan Associates,"Medium-High: ERP/WMS layers are mature, but cross-enterprise visibility and data quality vary widely.",Margin compression; tariff and sourcing volatility; customer service-level expectations; working-capital pressure; omnichannel digitization.,EDI/email order capture; fragmented supplier master data; low inventory visibility across locations; rebate and pricing leakage.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/econ/overview/wh0300.html | https://www.census.gov/programs-surveys/aies/about.html,
3,Construction,11,2534683,1341322,-4.9,$2.53T gross output; $1.34T value added (BEA 2025),"Project-based contracting and subcontracting model driven by bid accuracy, schedule control, labor/equipment utilization, and cash conversion.",Estimating and bidding | Project scheduling | Procurement/subcontractor management | Field reporting and change orders | Progress billing and lien/compliance tracking,Procore | Autodesk Construction Cloud | Oracle Primavera | Trimble | Sage,"Medium: strong point solutions exist, but adoption and interoperability remain inconsistent across the field and back office.",Labor shortages; cost inflation; interest-rate sensitivity; permitting/compliance load; owner demand for schedule certainty.,Manual RFIs/submittals; fragmented subcontractor data; change-order leakage; duplicate field-to-office entry; slow payment cycles.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/construction/c30/at_a_glance.html | https://www.census.gov/programs-surveys/aies/about.html,
4,"Miscellaneous professional, scientific, and technical services",69,2384991,1518505,4.4,$2.38T gross output; $1.52T value added (BEA 2025),"People-intensive expert-services model sold via engagements, retainers, or milestones; economics depend on utilization, realization, staffing mix, and repeat demand.",Pipeline and proposal management | Staffing and capacity planning | Project delivery | Time/expense capture | Invoicing and collections,Salesforce | Microsoft Dynamics 365 | Workday | Deltek | NetSuite,"Medium: front-office and finance stacks are mature, but delivery operations are often fragmented by practice and firm size.",Talent competition; client procurement scrutiny; AI-enabled productivity shifts; utilization pressure; margin sensitivity.,Weak staffing visibility; proposal-to-delivery disconnects; delayed time capture; bespoke reporting; knowledge trapped in teams.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
5,Other real estate,63,2093484,848880,-8.6,$2.09T gross output; $0.85T value added (BEA 2025),"Commercial and non-housing real-estate ownership, leasing, brokerage, and management model driven by occupancy, rent roll quality, capex, and asset turnover.",Leasing and pipeline management | Asset/fund reporting | Property operations and maintenance | Tenant billing and CAM reconciliation | Capex and compliance management,Yardi | MRI Software | CoStar | VTS | Juniper Square,"Medium: core property systems are established, but portfolio-wide data normalization and workflow automation are still uneven.",Office demand reset; refinancing risk; insurance and tax burden; tenant flight-to-quality; climate/compliance retrofits.,Fragmented owner/operator stacks; spreadsheet-driven lease abstractions; slow CAM true-ups; manual work-order coordination.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/housing/hvs/data/reports.html | https://www.census.gov/programs-surveys/aies/about.html,
6,Ambulatory health care services,77,1743923,1152957,-0.6,$1.74T gross output; $1.15T value added (BEA 2025),"Outpatient visit and procedure model reimbursed by payers and patients; economics hinge on throughput, coding quality, payer authorization, and collections.",Patient intake and scheduling | Eligibility/authorization | Clinical documentation | Coding and charge capture | Claims and patient collections,Epic | athenahealth | eClinicalWorks | Oracle Health | NextGen Healthcare,"Medium-High: EHR adoption is high, but payer/admin workflows remain highly fragmented.",Staff shortages; reimbursement pressure; prior-authorization burden; site-of-care shifts; rising patient-pay responsibility.,Phone/fax handoffs; duplicate documentation; denial rework; fragmented scheduling/referral data; slow authorization loops.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/historical,
7,Other retail,39,1705937,1077608,-1.5,$1.71T gross output; $1.08T value added (BEA 2025),"Consumer merchandise retail across specialty and e-commerce channels; economics driven by sell-through, inventory turns, basket size, returns, and CAC/retention tradeoffs.",Merchandising and assortment planning | Inventory allocation | Order capture and payments | Fulfillment and returns | Pricing and promotion management,Shopify | Salesforce Commerce Cloud | Oracle Retail | SAP | Manhattan Associates,"Medium: commerce tooling is mature, but cross-channel inventory, returns, and profitability management remain hard.",Omnichannel fulfillment costs; digital ad inflation; shrink/fraud; returns burden; private-label and marketplace competition.,Split store/e-commerce inventory pools; manual markdowns; high return handling friction; weak profitability by channel/order.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/retail/mrts/about_the_surveys.html | https://www.census.gov/programs-surveys/aies/about.html,
8,Insurance carriers and related activities,58,1592051,842755,-2.9,$1.59T gross output; $0.84T value added (BEA 2025),"Risk underwriting and claims-administration model; economics run through premium growth, loss ratio, expense ratio, capital efficiency, and distribution.",Distribution and quote/bind | Underwriting and pricing | Policy administration | Claims intake/adjudication | Reinsurance and regulatory reporting,Guidewire | Duck Creek | Verisk | Majesco | Salesforce Financial Services Cloud,"Medium-High: core systems are established, but many carriers still run legacy policy/claims stacks and manual adjudication.",Catastrophe losses; rate adequacy; fraud; distribution-channel compression; rising compliance and reserving complexity.,Legacy policy cores; manual bordereaux/reconciliation; claims triage delays; fragmented customer and broker data.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://content.naic.org/industry/insurance-industry-snapshots-analysis-reports,
9,"Federal Reserve banks, credit intermediation, and related activities",56,1503105,1093345,-5.9,$1.50T gross output; $1.09T value added (BEA 2025),"Deposit, lending, servicing, and payments model monetized through net interest margin, fees, and balance-sheet velocity under tight regulatory constraints.",Origination and onboarding | Deposit/payment operations | Credit underwriting and servicing | Risk/compliance monitoring | Collections and loss mitigation,Fiserv | FIS | Jack Henry | nCino | Temenos,"Medium-High: critical cores are mature, but many institutions still depend on layered legacy systems and manual exception handling.",Funding-cost pressure; fraud/cyber risk; regulatory scrutiny; payment modernization; margin sensitivity to rates.,Manual exception queues; fragmented customer data across core and digital channels; costly compliance ops; slow onboarding.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.fdic.gov/quarterly-banking-profile | https://www.federalreserve.gov/releases/h8/Current/ | https://www.federalreserve.gov/newsevents/pressreleases/other20260701a.htm,
10,Food services and drinking places,87,1440423,706948,-3.5,$1.44T gross output; $0.71T value added (BEA 2025),"High-volume service-retail model driven by traffic, ticket size, labor productivity, food cost control, and throughput by location.",Labor scheduling | Procurement and prep | POS/order flow | Kitchen/service execution | Daily cash/inventory reconciliation,Toast | Square | Oracle MICROS | NCR Voyix | PAR Technology,"Medium: POS and scheduling are mature, but back-office, supply, and multi-location analytics are often fragmented.",Labor cost inflation; delivery-platform economics; food input volatility; health/safety compliance; consumer traffic swings.,Manual scheduling overrides; recipe/food-cost leakage; split dine-in/delivery data; store-level reporting delays.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/retail/mrts/about_the_surveys.html | https://www.census.gov/programs-surveys/aies/about.html,
