industry	workflow	failure	diagnosis	evidence_gathering	decision	correction	approval	resubmission	closure	actual_operational_behavior	candidate_relevance
Construction	Market development and bid intake	Invitation lacks scope or addenda	Check bid source and latest docs	Request updated drawings and notes	Bid or no-bid	Update bid file and assumptions	Principal or precon approval	Resend questions or bid	Archive final bid set	Mostly email and shared-drive cleanup	None
Construction	Estimating and proposal management	Estimate no longer matches scope	Compare takeoff, quotes, and addenda	Gather supplier quotes and exclusions	Reprice or withdraw	Revise estimate	Exec signoff	Resubmit proposal	Track revised version	Excel and PDF markup dominate recovery	None
Construction	Contract review and project setup	Billing rules loaded incorrectly	Compare contract to ERP and SOV	Collect contract exhibits and portal instructions	Correct setup path	Edit project controls	Controller or PM approval	Reload setup package	Verify first-bill readiness	Manual checklist reconciliation still common	Support-W001
Construction	Project scheduling and resource planning	Crew plan slips before mobilization	Review milestones and labor commitments	Collect vendor dates and crew availability	Resequence or defer	Revise schedule	PM or GC concurrence	Reissue look-ahead	Monitor recovery path	Phone and spreadsheet resequencing	None
Construction	Subcontractor and vendor onboarding and compliance	Vendor blocked by missing compliance item	Check missing COI or tax form	Request insurer certificates and docs	Wait, escalate, or replace vendor	Update vendor file	PM or AP approval	Resubmit vendor packet	Release vendor for work	Email chase across vendors and insurers	Support-W001
Construction	Labor time capture and cost coding	Time posted late or to wrong code	Compare field logs to payroll	Collect foreman notes and prior entries	Edit or approve correction	Recode time	Update payroll batch	Re-export payroll or WIP	Confirm job-cost update	Usually fixed with supervisor follow-up	None
Construction	Field execution and daily production	Site constraint blocks planned work	Check daily log and GC direction	Gather field photos and crew notes	Escalate or resequence	Move work area or crew	GC or PM approval	Issue updated daily plan	Close log with revised status	Recovery lives in calls, texts, and standups	None
Construction	Safety, quality, and inspection management	Inspection or quality check fails	Review failed item and requirement	Gather photos, checklists, and inspector comments	Repair or dispute finding	Complete remediation	Inspector or QA approval	Reschedule inspection	Close defect log	Proof collection is still manual	None
Construction	Change-order and cost-to-complete reconciliation	Extra work disputed or unpriced	Match field event to contract scope	Gather tickets, logs, emails, and cost backup	Pursue CO or absorb cost	Revise budget and support	GC or owner acceptance	Resubmit CO/billing backup	Close budget variance	High-manual investigation loop	Support-W001
Construction	Progress billing, SOV, and pay application preparation	Pay app rejected or returned	Review portal status and version mismatch	Gather current SOV, backup, and waiver docs	Correct package or challenge rejection	Restitch draw package	GC portal acceptance	Resubmit pay app	Confirm status moved forward	Mostly spreadsheet and PDF recovery	Support-W001
Construction	Collections, waiver, and payment dispute recovery	Approved work still not paying	Trace hold reason across portal, GC, and waiver state	Gather compliance proof, waivers, CO status, and emails	Escalate, accept deduction, or resubmit	Correct issue and sequence docs	GC AP or owner acceptance	Resubmit or requeue payment	Close when cash releases	This is the core manual exception desk	GREEN-W001
Construction	Punchlist, closeout, and retainage release	Closeout stalled or retainage withheld	Check punchlist and closeout requirements	Gather manuals, signoffs, and waivers	Clear remaining issue or dispute hold	Complete missing item	Owner or GC acceptance	Resubmit closeout package	Release retainage	Manual document chase dominates	None
Housing	Unit marketing and lead management	Lead goes stale or listing is wrong	Review listing feed and lead notes	Gather current availability and pricing	Refresh listing or reassign lead	Update listing and CRM	Manager approval if pricing changed	Republish unit	Track lead response rate	Mostly channel and email cleanup	None
Housing	Applicant screening and lease execution	Application cannot move forward	Review missing docs or screening hit	Gather ID, income, and vendor results	Approve, deny, or request more info	Correct application file	Manager approval if exception	Resend docs or lease	Close application	Still a bounded paperwork loop	None
Housing	Move-in onboarding and account setup	Resident account or utility setup is wrong	Review move-in checklist	Gather lease, utility, and key records	Fix account and timing	Correct setup in PMS	Manager approval if fee changed	Reissue move-in packet	Close onboarding issue	Checklists and email drive recovery	None
Housing	Rent billing and cash application	Cash does not apply cleanly	Review ledger and payment trail	Gather bank, processor, and resident records	Apply, reverse, or escalate	Fix ledger entry	Accounting approval if material	Repost cash	Close resident account	Finance teams already own this loop	None
Housing	Delinquency, collections, and move-out notices	Resident default path breaks	Review notice status and payment history	Gather ledger, notices, and contact log	Offer plan or escalate legal	Reset notice or plan	Manager/legal approval	Reissue notices or agreement	Close collection step	Mostly policy- and notice-driven	None
Housing	Maintenance intake and triage	Request misrouted or under-triaged	Check request detail and urgency	Gather resident notes and prior work order	Retriage or merge tickets	Update priority and assignee	Manager approval if emergency	Reopen or reroute request	Close with corrected assignment	Intake correction exists but is not the main wedge	Support-W002
Housing	Vendor onboarding and compliance	Vendor cannot be dispatched	Check COI or contract gap	Gather insurance and vendor docs	Approve, replace, or escalate	Update vendor readiness	Manager or AP approval	Resend vendor packet	Close vendor block	Email with vendors and insurers is common	Support-W002
Housing	Repair dispatch and work order execution	Assigned repair misses plan	Review vendor status, access, or parts issue	Gather resident communication, vendor notes, and photos	Reschedule, reassign, or approve extra work	Update work order and dependencies	Manager approval if spend changes	Resend schedule and task details	Close work order or roll to turn board	Real recovery lives outside the PMS	Support-W002
Housing	Turnover and make-ready recovery	Unit will miss ready date	Review turn board and blocker owner	Gather vendor ETAs, inspections, approvals, and part status	Escalate blocker or resequence work	Update plan and due dates	Regional or manager approval if spend changes	Resend turn sequence and assignments	Close when unit is ready	Shadow boards, texts, and calls still dominate	GREEN-W002
Housing	Resident communication, renewal, and retention	Resident issue escalates or renewal stalls	Check account notes and prior communication	Gather service status, offer terms, and complaints	Offer concession, solve issue, or exit	Adjust communication or offer	Manager approval if concession used	Reissue renewal or notice	Close resident issue	Communication work is manual but secondary	None
Housing	Inspections, owner reporting, and compliance	Turn or property fails inspection	Review failed item and due date	Gather photos, contractor notes, and prior fixes	Repair, reinspect, or escalate	Complete remediation	Inspector, owner, or manager approval	Reschedule inspection or report	Close compliance item	Evidence assembly remains manual	Support-W002
Administrative and support services	Client sales, scoping, and rate setup	Account terms do not support clean billing	Review contract and rate card	Gather signed terms and implementation notes	Reset rates or rules	Update account setup	Client or internal approval	Resend setup package	Close account config issue	Upstream account cleanup happens manually	Support-W003
Administrative and support services	Client and VMS onboarding	Account/VMS config fails	Compare configured fields to client rules	Gather portal screenshots, approver lists, and field mappings	Reconfigure or escalate vendor	Update integration or workflow	Client or internal approval	Retest and relaunch	Close onboarding defect	Setup gaps often seed future discrepancies	Support-W003
Administrative and support services	Recruiting and candidate submission	Candidate submission rejected	Review missing data or fit issue	Gather profile, license, and client feedback	Resubmit or abandon	Fix profile or sourcing path	Client or recruiter approval	Resubmit candidate	Close requisition step	Recovery exists but not the best wedge	None
Administrative and support services	Credentialing and compliance onboarding	Worker cannot clear to start	Check missing document or credential	Gather credential file and vendor results	Request more info or replace candidate	Update packet or candidate	Client or compliance approval	Resubmit credential pack	Close start-clearance issue	High-document chase but adjacent	None
Administrative and support services	Assignment setup, scheduling, and worker communication	Worker misses shift or setup is wrong	Check placement, schedule, and communications	Gather texts, times, and assignment rules	Reassign, restate, or escalate	Update placement or schedule	Client or ops approval	Resend instructions	Close attendance issue	Often resolved with phone and email	None
Administrative and support services	Time capture and approval	Time is missing or not approved	Check BTE, VMS, and approver status	Gather timecards, approval chain, and schedule detail	Chase approval or correct entry	Update time record	Client or site approval	Resubmit timesheet	Close approved-hours issue	One of the major precursors to W-003	Support-W003
Administrative and support services	Pay/bill discrepancy resolution	Hours or rates do not reconcile	Compare ATS, BTE, VMS, pay, and bill records	Gather contracts, approvals, placements, and audit trail	Correct source record or override path	Fix pay/bill data	Controller or ops approval if material	Recalc, rerun payroll, or regenerate invoice	Close discrepancy queue	Explicit exception desk with cross-system truth gaps	YELLOW-W003
