workflow_name,workflow_family,operating_systems,industries_using_this_workflow,industry_count,primary_structural_failure_code,primary_structural_failure_name,secondary_structural_failure_codes,secondary_structural_failure_names,all_selected_failure_codes,all_selected_failure_names,selected_failure_score_breakdown,full_score_breakdown,dominant_root_cause,economic_leakage_summary,time_leakage_summary,human_judgment_summary,system_of_record_escape_summary,why_it_persists_summary,workflow_document
"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Hospitals | Nursing and residential care facilities,2,SF-03,Decision Context Escapes the Record,SF-01 | SF-05,Exception-Path Breakdown | Handoff and Approval Latency,SF-03 | SF-01 | SF-05,Decision Context Escapes the Record | Exception-Path Breakdown | Handoff and Approval Latency,SF-03:15.0 | SF-01:13.0 | SF-05:8.0,SF-03:15.0 | SF-01:13.0 | SF-05:8.0 | SF-04:6.0 | SF-07:5.0 | SF-06:2.0 | SF-08:1.0,Organizational,"Leakage starts with avoidable denials, no-shows, unused capacity, and mis-routed participants.","Teams repeatedly collect the same history and chase coverage, paperwork, and schedule coordination.","Staff balance urgency, fit, and operational constraints under incomplete documentation.","Phone calls, scanned documents, and message threads still carry the real intake context.","Eligibility and access rules can be encoded, but edge cases and capacity realities still require manual orchestration. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/access-admissions-and-throughput-management.md
"Access, Intake, and Scheduling","Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,1,SF-03,Decision Context Escapes the Record,SF-01 | SF-05,Exception-Path Breakdown | Handoff and Approval Latency,SF-03 | SF-01 | SF-05,Decision Context Escapes the Record | Exception-Path Breakdown | Handoff and Approval Latency,SF-03:15.0 | SF-01:13.0 | SF-05:8.0,SF-03:15.0 | SF-01:13.0 | SF-05:8.0 | SF-04:6.0 | SF-07:5.0 | SF-06:2.0 | SF-08:1.0,Organizational,"Leakage starts with avoidable denials, no-shows, unused capacity, and mis-routed participants.","Teams repeatedly collect the same history and chase coverage, paperwork, and schedule coordination.","Staff balance urgency, fit, and operational constraints under incomplete documentation.","Phone calls, scanned documents, and message threads still carry the real intake context.","Eligibility and access rules can be encoded, but edge cases and capacity realities still require manual orchestration. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/access-intake-and-scheduling.md
Account and Loan Onboarding,"Access, Intake, and Contracting","Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",1,SF-05,Handoff and Approval Latency,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05 | SF-04 | SF-03,Handoff and Approval Latency | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05:22.0 | SF-04:19.5 | SF-03:17.5,SF-05:22.0 | SF-04:19.5 | SF-03:17.5 | SF-07:12.0 | SF-01:9.0 | SF-08:3.5 | SF-02:2.0,Regulatory,"Slow onboarding delays revenue start dates and increases abandonment, while weak controls raise risk and rework.","Teams chase documents, approvals, signatures, and duplicate data entry across systems.","Analysts still judge risk, beneficial ownership complexity, and what counts as a satisfactory exception path.","Onboarding packets, emails, shared checklists, and external verification portals carry the real process state.","Verification is partly automatable, but high-value or high-risk relationships still require context-heavy review and layered approvals. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/account-and-loan-onboarding.md
Admissions and Enrollment,"Access, Intake, and Contracting",Education Delivery and Administration,Educational services,1,SF-03,Decision Context Escapes the Record,SF-01 | SF-05,Exception-Path Breakdown | Handoff and Approval Latency,SF-03 | SF-01 | SF-05,Decision Context Escapes the Record | Exception-Path Breakdown | Handoff and Approval Latency,SF-03:15.0 | SF-01:13.0 | SF-05:8.0,SF-03:15.0 | SF-01:13.0 | SF-05:8.0 | SF-04:6.0 | SF-07:5.0 | SF-06:2.0 | SF-08:1.0,Organizational,"Leakage starts with avoidable denials, no-shows, unused capacity, and mis-routed participants.","Teams repeatedly collect the same history and chase coverage, paperwork, and schedule coordination.","Staff balance urgency, fit, and operational constraints under incomplete documentation.","Phone calls, scanned documents, and message threads still carry the real intake context.","Eligibility and access rules can be encoded, but edge cases and capacity realities still require manual orchestration. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/admissions-and-enrollment.md
Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts | Machinery | Other transportation equipment",3,SF-04,Human Judgment Under Incomplete Information,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-04 | SF-01 | SF-03,Human Judgment Under Incomplete Information | Exception-Path Breakdown | Decision Context Escapes the Record,SF-04:16.0 | SF-01:14.0 | SF-03:9.0,SF-04:16.0 | SF-01:14.0 | SF-03:9.0 | SF-05:9.0 | SF-02:1.0,Legacy Architecture,"Repeat contacts, credits, field callbacks, and unresolved issues raise support cost and churn risk.",Agents and operations teams waste time on status chasing and duplicate handoffs.,"Good service recovery depends on empathy, prioritization, and contextual interpretation.","The most important context often lives in conversations, notes, and side chats rather than system fields.","Support flows cross channels and teams, and the edge cases that matter most remain unstructured. It typically spans 1 operating-system context and 6 systems-of-record categories.",knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,"Machinery | Electrical equipment, appliances, and components",2,SF-06,Plan vs. Reality Divergence,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-06 | SF-04 | SF-03,Plan vs. Reality Divergence | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-06:16.5 | SF-04:10.0 | SF-03:8.0,SF-06:16.5 | SF-04:10.0 | SF-03:8.0 | SF-05:4.0 | SF-02:1.0 | SF-01:0.5,Legacy Architecture,"Scrap, slow cycles, poor yields, and unplanned downtime are the main leakages.","Operators lose time to waiting, restarts, manual data capture, and coordination across shifts.","Supervisors balance throughput, quality, and risk when conditions diverge from the ideal run.","Operational nuance lives in shift notes, whiteboards, and tribal knowledge outside MES and ERP fields.","Even with modern MES, the last mile of execution still depends on local conditions and human adaptation. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/assembly-and-test.md
"Assembly, Test, and Certification",Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,1,SF-06,Plan vs. Reality Divergence,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-06 | SF-04 | SF-03,Plan vs. Reality Divergence | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-06:16.5 | SF-04:10.0 | SF-03:8.0,SF-06:16.5 | SF-04:10.0 | SF-03:8.0 | SF-05:4.0 | SF-02:1.0 | SF-01:0.5,Legacy Architecture,"Scrap, slow cycles, poor yields, and unplanned downtime are the main leakages.","Operators lose time to waiting, restarts, manual data capture, and coordination across shifts.","Supervisors balance throughput, quality, and risk when conditions diverge from the ideal run.","Operational nuance lives in shift notes, whiteboards, and tribal knowledge outside MES and ERP fields.","Even with modern MES, the last mile of execution still depends on local conditions and human adaptation. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/assembly-test-and-certification.md
Asset Acquisition and Setup,Planning and Allocation,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,1,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-08,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04 | SF-06 | SF-08,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04:21.5 | SF-06:13.0 | SF-08:8.0,SF-04:21.5 | SF-06:13.0 | SF-08:8.0 | SF-03:6.0 | SF-05:3.0 | SF-01:2.0,Technical,"Forecast error and poor allocation create excess cost, missed revenue, and avoidable firefighting.",Planning teams spend time rebuilding assumptions and chasing sign-off across functions.,Planners still decide which signals to trust and when the model output does not fit local reality.,"Scenario analysis and negotiation happen in spreadsheets, slides, and side conversations.","The hard problem is not math alone; it is aligning noisy signals, local constraints, and organizational trust. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/asset-acquisition-and-setup.md
Asset Maintenance and Outage Management,Production and Asset Operations,Network Infrastructure Operations,Utilities,1,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-03,Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04 | SF-06 | SF-03,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04:14.0 | SF-06:13.0 | SF-03:8.0,SF-04:14.0 | SF-06:13.0 | SF-03:8.0 | SF-02:1.0,Legacy Architecture,"Leakage comes from downtime, repeat failures, poor work scope, and weak turnover discipline.","Teams chase parts, permits, technician availability, and asset-history context.","Maintenance leaders still assess condition, risk, and repair tradeoffs beyond simple rules.","Readiness and outage details are frequently tracked in calls, notes, and local sheets outside the CMMS.","Maintenance systems track work orders, but true readiness still depends on fragmented context and field judgment. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/asset-maintenance-and-outage-management.md
Asset Maintenance and Turnover,Production and Asset Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,1,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-03,Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04 | SF-06 | SF-03,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04:14.0 | SF-06:13.0 | SF-03:8.0,SF-04:14.0 | SF-06:13.0 | SF-03:8.0 | SF-02:1.0,Legacy Architecture,"Leakage comes from downtime, repeat failures, poor work scope, and weak turnover discipline.","Teams chase parts, permits, technician availability, and asset-history context.","Maintenance leaders still assess condition, risk, and repair tradeoffs beyond simple rules.","Readiness and outage details are frequently tracked in calls, notes, and local sheets outside the CMMS.","Maintenance systems track work orders, but true readiness still depends on fragmented context and field judgment. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/asset-maintenance-and-turnover.md
