Concept ID,Concept Title,Primitive,Canonical Job,Domain,Customer,Confidence,Evidence,Value Pattern ID,Value Pattern,Pattern Mechanism,Opportunity Family ID,Opportunity Family,Family Rule Basis,Family Value Engine,Related Value Patterns,Review Flags
C-0001,AI Operating System for Product Managers,Optimize,Improve decisions,Product,Product manager,4,Pattern Evidence,VP-002,Decision Advantage,Improves the quality of prioritization and intervention decisions where mistakes or delays are expensive.,OF-002,Decision and Foresight Infrastructure,Value Pattern VP-002 Decision Advantage -> Decision and Foresight Infrastructure,"Raise judgment quality and reduce irreversible mistakes by turning weak signals, tradeoffs, and scenario uncertainty into clearer pre-commitment choices.","VP-002 Decision Advantage, VP-008 Pre-Commitment Foresight",None
C-0002,AI Company Memory,Remember,Preserve context,Operations,Operations executive,4,Pattern Evidence,VP-003,Memory Infrastructure,"Transforms past operating knowledge into future leverage by lowering search, reconstruction, and onboarding costs.",OF-001,Operational Execution Infrastructure,Value Pattern VP-003 Memory Infrastructure -> Operational Execution Infrastructure,"Convert fragmented execution and lost context into faster cycle times, lower coordination overhead, and more repeatable operating throughput.","VP-001 Workflow Compression, VP-003 Memory Infrastructure",Broad initial wedge
C-0003,AI Workflow Discovery Platform,Discover,Find opportunities,Workflow,Operations manager,4,Pattern Evidence,VP-006,Opportunity Surface Expansion,"Creates upside by expanding the set of credible opportunities a team can see, compare, or pursue.",OF-004,Discovery and Liquidity Networks,Value Pattern VP-006 Opportunity Surface Expansion -> Discovery and Liquidity Networks,Create upside by increasing what the user can see and lowering the search friction required to turn discovery into allocation.,"VP-005 Matching Liquidity, VP-006 Opportunity Surface Expansion",None
C-0004,Enterprise AI Skills Coach,Learn,Accelerate execution,Operations,Operations executive,4,Pattern Evidence,VP-007,Compounding Loops,Creates durable value through repeated-use reinforcement rather than one-time task completion.,OF-005,Capability Capital Platforms,Value Pattern VP-007 Compounding Loops -> Capability Capital Platforms,"Build durable leverage by ensuring each cycle leaves behind skills, assets, or operating capital that makes the next cycle stronger.","VP-007 Compounding Loops, VP-010 Assetization Engines",None
C-0005,AI Decision Auditor,Optimize,Improve decisions,Operations,Operations executive,4,Pattern Evidence,VP-002,Decision Advantage,Improves the quality of prioritization and intervention decisions where mistakes or delays are expensive.,OF-002,Decision and Foresight Infrastructure,Value Pattern VP-002 Decision Advantage -> Decision and Foresight Infrastructure,"Raise judgment quality and reduce irreversible mistakes by turning weak signals, tradeoffs, and scenario uncertainty into clearer pre-commitment choices.","VP-002 Decision Advantage, VP-008 Pre-Commitment Foresight",Broad initial wedge
C-0006,AI Customer Interview Platform,Discover,Find opportunities,Research,User researcher,4,Pattern Evidence,VP-006,Opportunity Surface Expansion,"Creates upside by expanding the set of credible opportunities a team can see, compare, or pursue.",OF-004,Discovery and Liquidity Networks,Value Pattern VP-006 Opportunity Surface Expansion -> Discovery and Liquidity Networks,Create upside by increasing what the user can see and lowering the search friction required to turn discovery into allocation.,"VP-005 Matching Liquidity, VP-006 Opportunity Surface Expansion",None
C-0007,AI Business Simulation Engine,Simulate,Test scenarios,Operations,Operations executive,4,Pattern Evidence,VP-008,Pre-Commitment Foresight,Creates value by reducing the cost of uncertainty before irreversible action is taken.,OF-002,Decision and Foresight Infrastructure,Value Pattern VP-008 Pre-Commitment Foresight -> Decision and Foresight Infrastructure,"Raise judgment quality and reduce irreversible mistakes by turning weak signals, tradeoffs, and scenario uncertainty into clearer pre-commitment choices.","VP-002 Decision Advantage, VP-008 Pre-Commitment Foresight",Broad initial wedge
C-0008,AI Consultant Platform,Coordinate,Coordinate work,Operations,Operations executive,3,Pattern Evidence,VP-001,Workflow Compression,"Converts fragmented workflows into shorter cycle times, fewer stalls, and lower execution overhead.",OF-001,Operational Execution Infrastructure,Value Pattern VP-001 Workflow Compression -> Operational Execution Infrastructure,"Convert fragmented execution and lost context into faster cycle times, lower coordination overhead, and more repeatable operating throughput.","VP-001 Workflow Compression, VP-003 Memory Infrastructure",Primitive ambiguity; Broad initial wedge
C-0009,AI Procurement Negotiator,Optimize,Improve decisions,Commercial,Procurement leader,4,Pattern Evidence,VP-002,Decision Advantage,Improves the quality of prioritization and intervention decisions where mistakes or delays are expensive.,OF-002,Decision and Foresight Infrastructure,Value Pattern VP-002 Decision Advantage -> Decision and Foresight Infrastructure,"Raise judgment quality and reduce irreversible mistakes by turning weak signals, tradeoffs, and scenario uncertainty into clearer pre-commitment choices.","VP-002 Decision Advantage, VP-008 Pre-Commitment Foresight",None
C-0010,AI Operating Manual Generator,Remember,Preserve context,Operations,Operations executive,4,Pattern Evidence,VP-003,Memory Infrastructure,"Transforms past operating knowledge into future leverage by lowering search, reconstruction, and onboarding costs.",OF-001,Operational Execution Infrastructure,Value Pattern VP-003 Memory Infrastructure -> Operational Execution Infrastructure,"Convert fragmented execution and lost context into faster cycle times, lower coordination overhead, and more repeatable operating throughput.","VP-001 Workflow Compression, VP-003 Memory Infrastructure",Broad initial wedge
C-0011,AI CEO Copilot,Optimize,Improve decisions,Operations,Operations executive,2,Intuition,VP-002,Decision Advantage,Improves the quality of prioritization and intervention decisions where mistakes or delays are expensive.,OF-002,Decision and Foresight Infrastructure,Value Pattern VP-002 Decision Advantage -> Decision and Foresight Infrastructure,"Raise judgment quality and reduce irreversible mistakes by turning weak signals, tradeoffs, and scenario uncertainty into clearer pre-commitment choices.","VP-002 Decision Advantage, VP-008 Pre-Commitment Foresight",Low concept confidence; Broad initial wedge; Why-now missing
C-0012,Digital Employee Marketplace,Match,Match resources,Talent,Recruiter,2,Intuition,VP-005,Matching Liquidity,"Creates value by lowering search friction and increasing utilization, fit, or fill-rate in a constrained network.",OF-004,Discovery and Liquidity Networks,Value Pattern VP-005 Matching Liquidity -> Discovery and Liquidity Networks,Create upside by increasing what the user can see and lowering the search friction required to turn discovery into allocation.,"VP-005 Matching Liquidity, VP-006 Opportunity Surface Expansion",Low concept confidence; Primitive ambiguity; Why-now missing
