industry	workflow	pain_statement	end_user	evidence_strength	measurable_impact	batch_1_implication
Construction	Contract review and project setup	Project teams misread GC billing rules and create downstream draw-package errors before the first submission.	Project accountant	Medium	Rework hours; first-bill delay	Upstream contributor, not first wedge
Construction	Change-order and cost-to-complete reconciliation	Scope drift and unsigned changes break the billing story and delay recovery of earned revenue.	PM	High	Margin leakage; aging growth	Supporting pain surface for W-001
Construction	Progress billing, SOV, and pay application preparation	Draw packages still require manual SOV alignment, waiver packaging, and portal-specific backup assembly.	Billing specialist	High	Hours per draw; rejection rate	Core pain for W-001
Construction	Collections, waiver, and payment dispute recovery	Rejected or blocked pay apps trigger multi-party chase work across GC AP, waivers, compliance, and backup evidence.	AR lead	High	DSO; delayed cash; financing cost	Core pain for W-001
Housing	Maintenance intake and triage	Operators can log requests, but urgency and assignment alone do not keep units on schedule.	Maintenance coordinator	Medium	Response SLA; coordinator time	Upstream context only
Housing	Vendor onboarding and compliance	COI and vendor-readiness issues stall turns even after work is scoped.	Turns coordinator	Medium	Days to dispatch; reschedule rate	Supporting pain surface for W-002
Housing	Repair dispatch and work order execution	Assigned work orders still drift because vendors, parts, access, and inspection timing break the plan.	Maintenance supervisor	High	Completion time; repeat visits	Supporting pain surface for W-002
Housing	Turnover and make-ready recovery	Missed ready dates trigger spreadsheet, phone, and text coordination to recover rent-start timing.	Turns coordinator	High	Days vacant; lost rent; coordinator labor	Core pain for W-002
Administrative and support services	Client and VMS onboarding	Account-specific time and approval rules are configured inconsistently and create later mismatch work.	Implementations analyst	Medium	Launch delay; later exception volume	Supporting pain surface for W-003
Administrative and support services	Time capture and approval	Weekly approvals still require chasing client approvers and VMS exceptions before payroll close.	Timecard admin	High	Approval lag; payroll delay	Supporting pain surface for W-003
Administrative and support services	Pay/bill discrepancy resolution	Approved hours still fail to move into payroll and invoicing because of rate, rule, or client-specific mismatches.	Reconciliation analyst	High	Payroll delay; invoice delay; gross-margin leakage	Core pain for W-003
Administrative and support services	Client invoicing, cash application, and collections	Underbilled or disputed invoices force staff to restitch hours, approvals, and rates after the fact.	AR specialist	Medium	DSO; rebill labor	Supporting pain surface for W-003
Food services and drinking places	POS, delivery-channel, and order capture	Restaurants still manage channel mismatch and fee confusion across first-party and marketplace orders.	GM	Medium	Order fallout; support time	Real but occupied
Food services and drinking places	Daily sales summary and cash close	Managers and bookkeepers still review deposits, labor, and third-party sources manually before close.	Bookkeeper	High	Close time; accounting labor	Real but too incremental
Food services and drinking places	Complaint, refund, chargeback, and third-party dispute recovery	Marketplace deposits, credits, and dispute cases still require weekly audit work despite broad software spend.	Owner	High	Net payout leakage; bookkeeping time	Killed due to occupied market boundary
