failure_code,failure_name,assignment_role,failure_score,workflow_name,workflow_family,canonical_operating_system,industry_name,industry_rank_2025_gross_output,dominant_root_cause,systems_of_record_categories,workflow_document
SF-03,Decision Context Escapes the Record,Primary,15.0,"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Hospitals,12,Organizational,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/access-admissions-and-throughput-management.md
SF-01,Exception-Path Breakdown,Secondary,13.0,"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Hospitals,12,Organizational,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/access-admissions-and-throughput-management.md
SF-05,Handoff and Approval Latency,Secondary,8.0,"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Hospitals,12,Organizational,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/access-admissions-and-throughput-management.md
SF-03,Decision Context Escapes the Record,Primary,15.0,"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Nursing and residential care facilities,37,Organizational,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/access-admissions-and-throughput-management.md
SF-01,Exception-Path Breakdown,Secondary,13.0,"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Nursing and residential care facilities,37,Organizational,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/access-admissions-and-throughput-management.md
SF-05,Handoff and Approval Latency,Secondary,8.0,"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Nursing and residential care facilities,37,Organizational,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/access-admissions-and-throughput-management.md
SF-03,Decision Context Escapes the Record,Primary,15.0,"Access, Intake, and Scheduling","Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,6,Organizational,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/access-intake-and-scheduling.md
SF-01,Exception-Path Breakdown,Secondary,13.0,"Access, Intake, and Scheduling","Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,6,Organizational,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/access-intake-and-scheduling.md
SF-05,Handoff and Approval Latency,Secondary,8.0,"Access, Intake, and Scheduling","Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,6,Organizational,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/access-intake-and-scheduling.md
SF-05,Handoff and Approval Latency,Primary,22.0,Account and Loan Onboarding,"Access, Intake, and Contracting","Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/account-and-loan-onboarding.md
