Concept ID,Concept,Original Wording,Session,Batch,Track,Source,Notes
C-0001,AI Operating System for Product Managers,"AI continuously watches Jira, Slack, analytics, support tickets and customer calls, proactively identifies risks/opportunities and recommends roadmap decisions.
Why Now: Reasoning models + enterprise integrations have matured.
Initial Rating: ⭐⭐⭐⭐⭐",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
C-0002,AI Company Memory,"Every meeting, Slack message, decision and document become a searchable organizational brain that answers ""why"" questions, not just ""what.""
Why Now: Memory + long context + RAG are finally practical.
Initial Rating: ⭐⭐⭐⭐☆",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
C-0003,AI Workflow Discovery Platform,"Observes how employees work across apps, discovers repetitive workflows automatically, then suggests or builds automations.
Why Now: Browser agents + computer use + LLM reasoning.
Initial Rating: ⭐⭐⭐⭐⭐",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
C-0004,Enterprise AI Skills Coach,"Watches employees perform real work and coaches them in context instead of through LMS courses.
Why Now: Screen understanding + voice + AI tutoring.
Initial Rating: ⭐⭐⭐⭐☆",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
C-0005,AI Decision Auditor,"Tracks major business decisions, assumptions and outcomes to improve organizational decision-making over time.
Why Now: Companies rarely learn systematically from decisions.
Initial Rating: ⭐⭐⭐⭐☆",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
C-0006,AI Customer Interview Platform,"Conducts interviews, asks follow-ups, clusters insights and automatically generates opportunity reports.
Why Now: Voice agents have become much more natural.
Initial Rating: ⭐⭐⭐⭐☆",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
C-0007,AI Business Simulation Engine,"Lets companies simulate pricing, org changes, product launches and market scenarios using internal data and AI models.
Why Now: Better reasoning + enterprise data access.
Initial Rating: ⭐⭐⭐⭐⭐",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
C-0008,AI Consultant Platform,"Replaces repetitive consulting engagements with AI workflows plus expert review. Start in one vertical.
Why Now: Services are expensive and repetitive.
Initial Rating: ⭐⭐⭐⭐⭐",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
C-0009,AI Procurement Negotiator,"Negotiates SaaS renewals, vendor contracts and pricing autonomously with human approval.
Why Now: Agentic workflows + document reasoning.
Initial Rating: ⭐⭐⭐⭐☆",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
C-0010,AI Operating Manual Generator,"Learns how a company operates and continuously generates/upgrades SOPs, onboarding and process documentation.
Why Now: Documentation is always outdated today.
Initial Rating: ⭐⭐⭐⭐☆",2026-08-01,Batch 1,,chatgpt-conversation://6a6c1fd8-a120-83ea-8bce-a4d8701e75ec#turn=22f1ab5e-ed8e-49e3-a758-2651c4208529,
