industry	workflow	lifecycle_stage	primary_owner	existing_system_of_record	kpi_impacted	typical_exceptions	customer_evidence_signal	incumbent_gap_assessment	batch_1_disposition
Construction	Market development and bid intake	Commercial	Business development lead	CRM; bid board	Win rate; bid volume	Prequalification gaps; missing scope docs	Low	Not a primary failure surface for Batch 1	Not pursued
Construction	Estimating and proposal management	Commercial	Estimator	Estimating software; spreadsheets	Gross margin; hit rate	Scope mismatch; outdated quotes	Medium	Important upstream context but not the recurring exception desk	Supporting workflow
Construction	Contract review and project setup	Commercial	Project accountant	ERP; project management system	Billing accuracy; cash timing	Misread billing rules; missing SOV setup	High	Setup errors matter, but the persistent pain appears after submission	Supporting workflow
Construction	Project scheduling and resource planning	Planning	PM	Scheduling system	Schedule adherence; labor utilization	Sequence slippage; crew conflicts	Medium	Core execution workflow, but wedge remained narrower than replanning	Not pursued
Construction	Subcontractor and vendor onboarding and compliance	Supplier / Partner	Project engineer	Project management system; ERP	Compliance readiness; cycle time	Expired COIs; incomplete vendor packets	Medium	Adjacent to surviving wedge but not strong enough as first boundary	Supporting workflow
Construction	Labor time capture and cost coding	Workforce	Payroll admin	ERP; timekeeping	WIP accuracy; labor productivity	Missing codes; late timecards	Medium	Useful evidence layer, but not the highest-urgency exception desk	Not pursued
Construction	Field execution and daily production	Operational	Superintendent	Project management system	Production rate; schedule hit rate	Incomplete daily logs; missing field context	Medium	High pain, but broad and already deeply served by incumbent platforms	Not pursued
Construction	Safety, quality, and inspection management	Operational	Safety manager	Project management system; inspection tools	Defect rate; incident rate	Failed inspections; missing documentation	Medium	Real pain but compliance evidence did not beat billing cash urgency	Not pursued
Construction	Change-order and cost-to-complete reconciliation	Recovery	PM	ERP; project management system	Margin protection; forecast accuracy	Unsigned scope drift; stale budgets	High	Repeatedly adjacent, but weaker than pay-app rejection recovery as first wedge	Supporting workflow
Construction	Progress billing, SOV, and pay application preparation	Financial	Project accountant	GCPay; Textura; Procore; ERP	Billing cycle time; DSO	SOV mismatch; missing backup; portal rejection	High	Clear recurring failure surface with direct cash impact	Deepest candidate
Construction	Collections, waiver, and payment dispute recovery	Financial / Recovery	AR specialist	GCPay; Textura; ERP	Cash conversion; aging	Rejected waivers; payment holds; short-pay disputes	High	Dominant systems still do not fully own subcontractor-side correction work	Preserve as W-001
Construction	Punchlist, closeout, and retainage release	Closeout	PM	Project management system; ERP	Retainage release; project close days	Missing closeout docs; unresolved punch items	Medium	Meaningful, but more episodic and later-cycle than pay-app correction loop	Not pursued
Housing	Unit marketing and lead management	Commercial	Leasing agent	PMS; CRM	Occupancy; lead-to-lease	Stale availability; duplicate leads	Low	Not a material exception-heavy surface versus downstream ops	Not pursued
Housing	Applicant screening and lease execution	Commercial	Leasing manager	PMS; screening tools	Conversion rate; days vacant	Incomplete docs; screening delays	Medium	Important but better served than turn recovery and less operationally dense	Not pursued
Housing	Move-in onboarding and account setup	Commercial / Onboarding	Property manager	PMS	First-month collections; resident satisfaction	Missing utilities; bad account setup	Medium	Mostly bounded within PMS workflow	Not pursued
Housing	Rent billing and cash application	Financial	Property accountant	PMS; accounting	Cash collection; delinquency rate	Posting errors; unapplied payments	Medium	Valid finance work but did not outperform turn recovery	Not pursued
Housing	Delinquency, collections, and move-out notices	Financial / Recovery	Property manager	PMS; collections tools	Bad debt; days delinquent	Broken payment plans; notice timing	Medium	Occupied by incumbent rent and collections workflows	Not pursued
Housing	Maintenance intake and triage	Operational	Maintenance coordinator	PMS; maintenance platform	Response time; completion SLA	Missed triage; wrong priority	High	Intake is increasingly digitized; pain intensifies after assignment	Supporting workflow
Housing	Vendor onboarding and compliance	Supplier / Partner	Maintenance coordinator	PMS; AP system	Vendor readiness; work order cycle time	Missing COIs; slow approvals	High	Strong supporting failure surface inside the broader turn wedge	Supporting workflow
Housing	Repair dispatch and work order execution	Operational	Maintenance supervisor	PMS; maintenance platform	Completion time; first-time fix	Vendor no-shows; missing parts; stale status	High	Tracking exists, but blocker recovery still leaks out of system	Supporting workflow
Housing	Turnover and make-ready recovery	Recovery	Turns coordinator	PMS; maintenance platform	Days vacant; ready-date hit rate	Missed inspections; vendor delay; approval block	High	Best concentration of pain, manual coordination, and measurable ROI	Preserve as W-002
Housing	Resident communication, renewal, and retention	Customer / Retention	Community manager	PMS; CRM	Renewal rate; satisfaction	Missed updates; renewal timing gaps	Medium	Related communication pain, but not the core wedge	Not pursued
Housing	Inspections, owner reporting, and compliance	Governance / Risk	Regional manager	PMS; reporting suite	Compliance pass rate; owner confidence	Missing evidence; failed turns	Medium	Supports wedge economics but not strong enough as first product boundary	Supporting workflow
Administrative and support services	Client sales, scoping, and rate setup	Commercial	Account executive	ATS; CRM	Gross margin; account win rate	Bad rate cards; missing contract rules	Medium	Upstream setup matters, but not the sharpest recurring workflow	Supporting workflow
Administrative and support services	Client and VMS onboarding	Commercial / Partner	Implementations analyst	ATS; VMS; middle-office stack	Launch time; clean time capture	Portal misconfiguration; missing approvers	High	Often where future discrepancies originate, but still a setup problem more than a standalone wedge	Supporting workflow
Administrative and support services	Recruiting and candidate submission	Workforce	Recruiter	ATS	Fill rate; time to submit	Missing candidate data; submission rejection	Low	High-volume workflow but not the exception desk with clearest buyer pain	Not pursued
Administrative and support services	Credentialing and compliance onboarding	Workforce / Risk	Onboarding coordinator	ATS; credentialing tools	Start-date hit rate; compliance pass	Missing docs; failed screenings	Medium	Meaningful pain, but adjacent to broader onboarding category	Not pursued
Administrative and support services	Assignment setup, scheduling, and worker communication	Workforce	Scheduler	ATS; workforce management	Fill rate; attendance	Wrong shift rules; late schedule changes	Medium	Operationally important, but less direct than pay/bill exceptions	Not pursued
Administrative and support services	Time capture and approval	Workforce / Financial	Timecard admin	Bullhorn; Avionte; VMS	Approval rate; payroll close	Unapproved timecards; missing punches	High	Important upstream source of downstream mismatch resolution	Supporting workflow
Administrative and support services	Pay/bill discrepancy resolution	Recovery	Billing operations coordinator	Bullhorn; Avionte; Ascen	Gross margin; payroll timeliness	Rate mismatch; VMS conflict; approval gap	High	Clearest narrow exception desk, but boundary proof is still medium strength	Preserve as W-003
Administrative and support services	Payroll processing	Financial	Payroll manager	Payroll system; middle-office stack	On-time pay; correction rate	Bad exports; pay corrections	High	Recurring and important, but too close to integrated middle-office incumbents	Supporting workflow
Administrative and support services	Client invoicing, cash application, and collections	Financial	AR specialist	Middle-office stack; ERP	DSO; invoice accuracy	Rejected invoices; underpayments	High	Adjacent and economically important, but exception root often sits earlier in pay/bill mismatch desk	Supporting workflow
Administrative and support services	Service-level monitoring, reporting, and escalation	Governance / Customer	Operations manager	ATS; BI tooling	SLA compliance; client retention	Missing attendance data; client complaints	Medium	Secondary value surface, not best first wedge	Not pursued
Administrative and support services	Renewal, replacement, and offboarding	Closeout	Operations lead	ATS; CRM	Retention; redeployment	Final time disputes; delayed offboarding	Medium	Important but less concentrated than weekly close-cycle pain	Not pursued
Food services and drinking places	Menu, pricing, and promotion planning	Commercial	Owner	POS; spreadsheets	Gross margin; promo lift	Price mismatch across channels	Low	Not an exception-heavy workflow with wedge-level pain	Not pursued
Food services and drinking places	Labor scheduling and time capture	Workforce	GM	POS; workforce management	Labor cost percent; overtime	Bad punches; schedule mismatch	Medium	Recurring, but already strongly served by labor tools	Not pursued
Food services and drinking places	Procurement, receiving, and inventory setup	Supplier / Partner	Kitchen manager	Inventory system; distributor portals	Food cost; stockouts	Missing deliveries; bad item mapping	Medium	Real pain, but workflow not clearly neglected enough	Not pursued
Food services and drinking places	Prep and production planning	Operational	Chef	POS; prep sheets	Waste; service speed	Bad forecast; prep shortfalls	Low	Operationally critical, but weak wedge boundary	Not pursued
Food services and drinking places	POS, delivery-channel, and order capture	Customer / Commercial	GM	Toast; Square; delivery apps	Order accuracy; channel mix	Menu sync errors; order drop	Medium	Platforms already control too much of the boundary	Supporting workflow
Food services and drinking places	Kitchen and service fulfillment	Operational	FOH manager	POS; KDS	Ticket time; refund rate	Missed items; delayed handoff	Medium	Exception work exists, but not strong as a standalone software entry	Not pursued
Food services and drinking places	Daily sales summary and cash close	Financial	Bookkeeper	Toast; Restaurant365; accounting	Close accuracy; posting speed	Missing deposits; DSS import issues	High	Important back-office pain, but incumbents already own most data flow	Supporting workflow
