Canonical Job,Description,Example Variants,Concept Count
Coordinate work,"Move multi-step work across people, tools, or systems with fewer handoffs.",Coordinate operating decisions.; Coordinate workflow execution.; Coordinate household coordination.; Coordinate commercial decisions.; Coordinate physical operations.,143
Improve decisions,"Help the customer make better choices, prioritization calls, and tradeoffs.",Improve operating decisions.; Improve commercial decisions.; Improve account decisions.; Improve roadmap decisions.; Improve venture decisions.,89
Preserve context,"Capture and recall knowledge, history, rationale, and prior decisions.",Preserve context for operating decisions.; Preserve context for personal development.; Preserve context for community participation.; Preserve context for workflow execution.; Preserve context for household coordination.,69
Verify quality,"Establish quality, trust, readiness, or compliance before proceeding.",Verify quality in operating decisions.; Verify quality in personal development.; Verify quality in adaptation planning.; Verify quality in care coordination.; Verify quality in community participation.,67
Match resources,"Connect the right people, assets, opportunities, or support at the right time.",Match the right resources in operating decisions.; Match the right resources in community participation.; Match the right resources in household coordination.; Match the right resources in skill development.; Match the right resources in personal development.,56
Find opportunities,"Surface unmet needs, openings, patterns, or high-upside possibilities.",Find opportunities in research programs.; Find opportunities in personal development.; Find opportunities in public coordination.; Find opportunities in operating decisions.; Find opportunities in workflow execution.,55
Compound capability,"Make learning, self-improvement, or expertise accumulate across cycles.",Compound gains in personal development.; Compound gains in skill development.,53
Compound gains,Make each cycle increase the value of the next instead of resetting.,Compound gains in operating decisions.; Compound gains in community participation.; Compound gains in public coordination.; Compound gains in venture decisions.; Compound gains in adaptation planning.,37
Predict outcomes,Forecast likely outcomes early enough for the customer to act.,Predict outcomes in operating decisions.; Predict outcomes in physical operations.; Predict outcomes in public coordination.; Predict outcomes in personal development.; Predict outcomes in research programs.,26
Accelerate learning,"Help people or systems learn, onboard, or improve faster.",Accelerate skill development.; Accelerate personal development.,22
Improve execution,Help the customer run ongoing work and coordination more effectively.,Improve household coordination.; Improve care coordination.; Improve workflow execution.; Improve physical operations.; Improve public coordination.,18
Accelerate execution,Shorten time-to-progress in coordinated work or multi-step action.,Accelerate operating decisions.; Accelerate care coordination.; Accelerate account decisions.; Accelerate public coordination.; Accelerate household coordination.,16
Improve capability,"Increase skill, expertise, or personal effectiveness over time.",Improve personal development.; Improve skill development.,15
Test scenarios,"Explore alternatives before committing time, capital, or trust.",Test scenarios in operating decisions.; Test scenarios in skill development.; Test scenarios in adaptation planning.; Test scenarios in care coordination.; Test scenarios in physical operations.,14
Adapt continuously,"Keep plans, systems, or behavior aligned as conditions change.",Adapt adaptation planning.; Adapt operating decisions.; Adapt public coordination.; Adapt physical operations.; Adapt personal development.,11
Create reusable outputs,"Turn work into repeatable assets, reusable outputs, or durable IP.",Create reusable outputs for operating decisions.; Create reusable outputs for skill development.; Create reusable outputs for content production.; Create reusable outputs for personal development.,5
Improve planning,"Make plans more robust, adaptive, or better informed before action.",Improve adaptation planning.,3
Improve creation,Increase the quality or leverage of created outputs and intellectual assets.,Improve content production.,1
