workflow_name,workflow_family,canonical_operating_system,industry_name,industry_rank_2025_gross_output,systems_of_record_categories
Lease Acquisition and Renewal,"Access, Intake, and Contracting",Asset Utilization and Lease Management,Housing,1,Property Management System | CRM | Maintenance Management
"Billing, Collections, and Cash Application",Finance and Revenue Operations,Asset Utilization and Lease Management,Housing,1,Property Management System | CRM | Maintenance Management
Asset Maintenance and Work Orders,Production and Asset Operations,Asset Utilization and Lease Management,Housing,1,Property Management System | CRM | Maintenance Management
Turnover and Readiness Management,Production and Asset Operations,Asset Utilization and Lease Management,Housing,1,Property Management System | CRM | Maintenance Management
Capital Planning and Compliance Reporting,Governance and Portfolio Operations,Asset Utilization and Lease Management,Housing,1,Property Management System | CRM | Maintenance Management
Demand Planning,Planning and Allocation,Distribution and Trade Operations,Wholesale trade,2,ERP | Supply Chain Planning | Warehouse Management System | Order Management System
Procurement and Replenishment,Sourcing and Supply,Distribution and Trade Operations,Wholesale trade,2,ERP | Supply Chain Planning | Warehouse Management System | Order Management System
Pricing and Quoting,"Access, Intake, and Contracting",Distribution and Trade Operations,Wholesale trade,2,ERP | Supply Chain Planning | Warehouse Management System | Order Management System
Order Management and Fulfillment,Delivery and Service Execution,Distribution and Trade Operations,Wholesale trade,2,ERP | Supply Chain Planning | Warehouse Management System | Order Management System
Billing and Collections,Finance and Revenue Operations,Distribution and Trade Operations,Wholesale trade,2,ERP | Supply Chain Planning | Warehouse Management System | Order Management System
Estimating and Proposal Management,"Access, Intake, and Contracting",Project Delivery and Contracting,Construction,3,Project and Construction Management | Scheduling and Planning | ERP
Project Scheduling and Resource Planning,Planning and Allocation,Project Delivery and Contracting,Construction,3,Project and Construction Management | Scheduling and Planning | ERP
Supplier and Subcontractor Management,Sourcing and Supply,Project Delivery and Contracting,Construction,3,Project and Construction Management | Scheduling and Planning | ERP
Field Execution and Change Management,Delivery and Service Execution,Project Delivery and Contracting,Construction,3,Project and Construction Management | Scheduling and Planning | ERP
Progress Billing and Compliance Administration,Finance and Revenue Operations,Project Delivery and Contracting,Construction,3,Project and Construction Management | Scheduling and Planning | ERP
Lead and Proposal Management,"Access, Intake, and Contracting",Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services",4,CRM | HCM / Workforce Management | Professional Services Automation | ERP
Staffing and Capacity Planning,Workforce and Labor Operations,Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services",4,CRM | HCM / Workforce Management | Professional Services Automation | ERP
Project Delivery,Delivery and Service Execution,Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services",4,CRM | HCM / Workforce Management | Professional Services Automation | ERP
Time and Expense Capture,Finance and Revenue Operations,Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services",4,CRM | HCM / Workforce Management | Professional Services Automation | ERP
Billing and Collections,Finance and Revenue Operations,Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services",4,CRM | HCM / Workforce Management | Professional Services Automation | ERP
Lease Acquisition and Pipeline Management,"Access, Intake, and Contracting",Asset Utilization and Lease Management,Other real estate,5,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting
Asset and Investor Reporting,Governance and Portfolio Operations,Asset Utilization and Lease Management,Other real estate,5,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting
Asset Maintenance and Work Orders,Production and Asset Operations,Asset Utilization and Lease Management,Other real estate,5,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting
Billing and Reconciliation,Finance and Revenue Operations,Asset Utilization and Lease Management,Other real estate,5,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting
Capital Planning and Compliance Reporting,Governance and Portfolio Operations,Asset Utilization and Lease Management,Other real estate,5,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting
"Access, Intake, and Scheduling","Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,6,EHR and Care Management | Practice Management | Revenue Cycle Management
Eligibility and Authorization,"Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,6,EHR and Care Management | Practice Management | Revenue Cycle Management
Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,EHR and Care Management | Practice Management | Revenue Cycle Management
Coding and Charge Capture,Finance and Revenue Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,EHR and Care Management | Practice Management | Revenue Cycle Management
"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,EHR and Care Management | Practice Management | Revenue Cycle Management
