Concept ID,Concept Title,Clear Description,Track,Batch,Primitive,Canonical Job,Domain,Customer,Value Mechanism,Initial Wedge,Confidence,Evidence,Why Now,Notes,Raw Source ID,Original Wording
C-0001,AI Operating System for Product Managers,"AI continuously watches Jira, Slack, analytics, support tickets and customer calls, proactively identifies risks/opportunities and recommends roadmap decisions.",Unknown,Batch 1,Optimize,Improve decisions,Product,Product manager,"Improves prioritization, tradeoffs, or negotiated outcomes in roadmap decisions.","Mid-market SaaS product teams triaging weekly roadmap tradeoffs across Jira, support, and usage analytics.",4,Pattern Evidence,Reasoning models + enterprise integrations have matured.,Track not recoverable from the raw inventory; marked Unknown.,C-0001,"AI continuously watches Jira, Slack, analytics, support tickets and customer calls, proactively identifies risks/opportunities and recommends roadmap decisions.
Why Now: Reasoning models + enterprise integrations have matured.
Initial Rating: ⭐⭐⭐⭐⭐"
C-0002,AI Company Memory,"Every meeting, Slack message, decision and document become a searchable organizational brain that answers ""why"" questions, not just ""what."".",Unknown,Batch 1,Remember,Preserve context,Operations,Operations executive,"Makes prior decisions, context, and history reusable during operating decisions.","Mid-market leadership teams reconciling decisions across meetings, chat, docs, and dashboards.",4,Pattern Evidence,Memory + long context + RAG are finally practical.,Track not recoverable from the raw inventory; marked Unknown. Customer normalized from title or domain cues rather than an explicit raw persona. Initial wedge remains broad and should be narrowed manually before external use.,C-0002,"Every meeting, Slack message, decision and document become a searchable organizational brain that answers ""why"" questions, not just ""what.""
Why Now: Memory + long context + RAG are finally practical.
Initial Rating: ⭐⭐⭐⭐☆"
C-0003,AI Workflow Discovery Platform,"Observes how employees work across apps, discovers repetitive workflows automatically, then suggests or builds automations.",Unknown,Batch 1,Discover,Find opportunities,Workflow,Operations manager,Searches a wider option space and surfaces higher-value openings in workflow execution before teams would find them manually.,"Back-office teams running repetitive approvals, service handoffs, or exception workflows across disconnected tools.",4,Pattern Evidence,Browser agents + computer use + LLM reasoning.,Track not recoverable from the raw inventory; marked Unknown. Customer normalized from title or domain cues rather than an explicit raw persona.,C-0003,"Observes how employees work across apps, discovers repetitive workflows automatically, then suggests or builds automations.
Why Now: Browser agents + computer use + LLM reasoning.
Initial Rating: ⭐⭐⭐⭐⭐"
C-0004,Enterprise AI Skills Coach,Watches employees perform real work and coaches them in context instead of through LMS courses.,Unknown,Batch 1,Learn,Accelerate execution,Operations,Operations executive,Improves performance through repeated feedback and practice in operating decisions.,"Mid-market leadership teams reconciling decisions across meetings, chat, docs, and dashboards.",4,Pattern Evidence,Screen understanding + voice + AI tutoring.,Track not recoverable from the raw inventory; marked Unknown. Customer normalized from title or domain cues rather than an explicit raw persona.,C-0004,"Watches employees perform real work and coaches them in context instead of through LMS courses.
Why Now: Screen understanding + voice + AI tutoring.
Initial Rating: ⭐⭐⭐⭐☆"
C-0005,AI Decision Auditor,"Tracks major business decisions, assumptions and outcomes to improve organizational decision-making over time.",Unknown,Batch 1,Optimize,Improve decisions,Operations,Operations executive,"Improves prioritization, tradeoffs, or negotiated outcomes in operating decisions.","Mid-market leadership teams reconciling decisions across meetings, chat, docs, and dashboards.",4,Pattern Evidence,Companies rarely learn systematically from decisions.,Track not recoverable from the raw inventory; marked Unknown. Customer normalized from title or domain cues rather than an explicit raw persona. Initial wedge remains broad and should be narrowed manually before external use.,C-0005,"Tracks major business decisions, assumptions and outcomes to improve organizational decision-making over time.
Why Now: Companies rarely learn systematically from decisions.
Initial Rating: ⭐⭐⭐⭐☆"
C-0006,AI Customer Interview Platform,"Conducts interviews, asks follow-ups, clusters insights and automatically generates opportunity reports.",Unknown,Batch 1,Discover,Find opportunities,Research,User researcher,Searches a wider option space and surfaces higher-value openings in account decisions before teams would find them manually.,"Research teams synthesizing recurring interviews, calls, and feedback without dedicated research operations support.",4,Pattern Evidence,Voice agents have become much more natural.,Track not recoverable from the raw inventory; marked Unknown. Customer normalized from title or domain cues rather than an explicit raw persona.,C-0006,"Conducts interviews, asks follow-ups, clusters insights and automatically generates opportunity reports.
Why Now: Voice agents have become much more natural.
Initial Rating: ⭐⭐⭐⭐☆"
C-0007,AI Business Simulation Engine,"Lets companies simulate pricing, org changes, product launches and market scenarios using internal data and AI models.",Unknown,Batch 1,Simulate,Test scenarios,Operations,Operations executive,"Lets teams explore scenarios in operating decisions before spending time, capital, or trust.","Mid-market leadership teams reconciling decisions across meetings, chat, docs, and dashboards.",4,Pattern Evidence,Better reasoning + enterprise data access.,Track not recoverable from the raw inventory; marked Unknown. Customer normalized from title or domain cues rather than an explicit raw persona. Initial wedge remains broad and should be narrowed manually before external use.,C-0007,"Lets companies simulate pricing, org changes, product launches and market scenarios using internal data and AI models.
Why Now: Better reasoning + enterprise data access.
Initial Rating: ⭐⭐⭐⭐⭐"
C-0008,AI Consultant Platform,Replaces repetitive consulting engagements with AI workflows plus expert review. Start in one vertical.,Unknown,Batch 1,Coordinate,Coordinate work,Operations,Operations executive,Reduces manual handoffs and keeps multi-step work moving across operating decisions.,One vertical where the workflow is repetitive enough to keep expert review in the loop.,3,Pattern Evidence,Services are expensive and repetitive.,Track not recoverable from the raw inventory; marked Unknown. Customer normalized from title or domain cues rather than an explicit raw persona. Primitive required judgment between nearby controlled taxonomy labels. Initial wedge remains broad and should be narrowed manually before external use.,C-0008,"Replaces repetitive consulting engagements with AI workflows plus expert review. Start in one vertical.
Why Now: Services are expensive and repetitive.
Initial Rating: ⭐⭐⭐⭐⭐"
C-0009,AI Procurement Negotiator,"Negotiates SaaS renewals, vendor contracts and pricing autonomously with human approval.",Unknown,Batch 1,Optimize,Improve decisions,Commercial,Procurement leader,"Improves prioritization, tradeoffs, or negotiated outcomes in commercial decisions.",Procurement teams handling recurring SaaS renewals and vendor negotiations without a dedicated analyst.,4,Pattern Evidence,Agentic workflows + document reasoning.,Track not recoverable from the raw inventory; marked Unknown. Customer normalized from title or domain cues rather than an explicit raw persona.,C-0009,"Negotiates SaaS renewals, vendor contracts and pricing autonomously with human approval.
Why Now: Agentic workflows + document reasoning.
Initial Rating: ⭐⭐⭐⭐☆"
C-0010,AI Operating Manual Generator,"Learns how a company operates and continuously generates/upgrades SOPs, onboarding and process documentation.",Unknown,Batch 1,Remember,Preserve context,Operations,Operations executive,"Makes prior decisions, context, and history reusable during operating decisions.","Mid-market leadership teams reconciling decisions across meetings, chat, docs, and dashboards.",4,Pattern Evidence,Documentation is always outdated today.,Track not recoverable from the raw inventory; marked Unknown. Customer normalized from title or domain cues rather than an explicit raw persona. Initial wedge remains broad and should be narrowed manually before external use.,C-0010,"Learns how a company operates and continuously generates/upgrades SOPs, onboarding and process documentation.
Why Now: Documentation is always outdated today.
Initial Rating: ⭐⭐⭐⭐☆"
